policy_no,certi_no,year,保险合同收入_预期赔付与费用_含亏损,保险合同收入_预期赔付与费用_亏损分摊,保险合同收入_预期释放的非金融风险调整_含亏损,保险合同收入_预期释放的非金融风险调整_亏损分摊,保险合同收入_摊销的CSM,保险合同收入_摊销的IACF,保险合同收入_经验调整,保险合同收入_分解的投资成分,赔付与费用_亏损分摊_预期现金流,赔付与费用_摊销的IACF,亏损合同损益_新增合同预期现金流_赔付与费用现金流_亏损,IFIE_P&L_未到期_预期现金流_非亏损,IFIE_P&L_未到期_预期现金流_亏损,IFIE_P&L_未到期_非金融风险调整_非亏损,IFIE_P&L_未到期_非金融风险调整_亏损,IFIE_P&L_未到期_CSM,IFIE_OCI_预期现金流_非亏损,IFIE_OCI_预期现金流_亏损,IFIE_OCI_非金融风险调整_非亏损,IFIE_OCI_非金融风险调整_亏损,未到期责任负债_CSM,未到期责任负债_预期现金流_非亏损,未到期责任负债_非金融风险调整,未到期责任负债_总额
1440002000004501220240000001,,2024,107.82955185861026,0.0,3.2348865557583077,0.0,-214.5435287020254,81.59920330082521,0.0,0.0,-0.0,-81.59920330082521,0.0,12.162054059817262,0.0,0.36486162179451787,0.0,-10.448539822463358,59.38385210635635,0.0,1.7815155631906905,0.0,697.9852644051854,1352.487015344791,40.57461046034373,2091.0468902103203
1440003000004501220230000001,,2023,54.91319770577375,0.0,1.6473959311732125,0.0,-100.10071180390102,46.21922915778498,0.0,0.0,-0.0,-46.21922915778498,0.0,12.488543830530716,0.0,0.3746563149159215,0.0,-10.178808719929808,18.2735913953534,0.0,0.5482077418606021,0.0,352.39042851048936,649.5469819384856,19.48640945815457,1021.4238199071295
1440003000004501220230000001,,2024,54.3893217348716,0.0,1.631679652046148,0.0,-26.319034754077837,11.67442227173865,0.0,0.0,0.0,-11.67442227173865,0.0,-39.398634282933564,-0.0,-1.1819590284880068,-0.0,-10.561659861380024,53.81175591096664,0.0,1.6143526773289993,0.0,340.4935233895042,645.6865121667729,19.370595365003187,1005.5506309212803
1WGL2022022830423780,,2022,35.3542710523676,0.0,1.060628131571028,0.0,0.5222006513231497,22.76699054118291,-1.8189894035458565e-14,0.0,-0.0,-22.76699054118291,59.46903670599047,3.028188277683767,0.0,0.09084564833051302,0.0,0.0,0.3461873965930588,0.0,0.010385621897791766,0.0,-2.593937875853554,168.63283545455434,5.05898506363663,171.09788264233742
1WGL2022022830423780,,2023,40.330066694883776,0.0,1.2099020008465133,0.0,-24.553148364654778,27.15670440369857,0.0,0.0,0.0,-27.15670440369857,0.0,-37.492046162235965,-0.0,-1.124761384867079,-0.0,-1.3110710199680973,0.7148042347494149,0.0,0.021444127042482445,0.0,77.69557907171581,124.57027786828877,3.7371083360486628,206.00296527605323
1WGL2022022830423780,,2024,40.302170329945405,0.0,1.2090651098983622,0.0,-37.10341287176035,27.231106333571717,0.0,0.0,0.0,-27.231106333571717,0.0,-38.15707190271463,-0.0,-1.1447121570814387,-0.0,-1.9394199847689813,1.4182362142554115,0.0,0.04254708642766234,0.0,79.98522610879485,87.11663794421835,2.6134991383265507,169.71536319133975
1WGL2022022130422943,,2022,38.2521621222338,0.0,1.147564863667014,0.0,0.5253899192032975,23.287804050294937,-1.8189894035458565e-14,0.0,-0.0,-23.287804050294937,59.663434777236496,2.9785458469020663,0.0,0.08935637540706198,0.0,0.0,0.3405121933702218,0.0,0.010215365801106654,0.0,-2.5396643698229684,165.8683627421846,4.976050882265538,168.30474925462718
1WGL2022022130422943,,2023,39.668918060541415,0.0,1.1900675418162425,0.0,-24.553859832911204,27.15670440369857,0.0,0.0,0.0,-27.15670440369857,0.0,-36.87742245465833,-0.0,-1.1063226736397498,-0.0,-1.3168033370130459,0.7030861325404081,0.0,0.02109258397621224,0.0,77.22693448817003,122.52814216552993,3.675844264965898,203.43092091866586
1WGL2022022130422943,,2024,39.64147901306105,0.0,1.1892443703918316,0.0,-36.980761818286446,27.231106333571717,0.0,0.0,0.0,-27.231106333571717,0.0,-37.53154613381766,-0.0,-1.1259463840145298,-0.0,-1.927721781577221,1.3949864402512244,0.0,0.04184959320753673,0.0,79.0135402784153,85.68849633857543,2.570654890157263,167.272691507148
1WGL2022022830423781,,2022,35.3542710523676,0.0,1.060628131571028,0.0,0.5222006513231497,22.76699054118291,-1.8189894035458565e-14,0.0,-0.0,-22.76699054118291,59.46903670599047,3.028188277683767,0.0,0.09084564833051302,0.0,0.0,0.3461873965930588,0.0,0.010385621897791766,0.0,-2.593937875853554,168.63283545455434,5.05898506363663,171.09788264233742
